N	Thread Priority	Main Priority	Nice	Policy	Sequential	Lock Type	total	avg	max
6	1	1	-	SCHED_RR	0	MUTEX	0.033238085	0.000001074	0.000006823	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.032631940	0.000001180	0.000007656	
6	1	1	-	SCHED_RR	0	SPIN	0.031022934	0.000002860	0.000010052	
6	99	99	-	SCHED_RR	0	MUTEX	0.034115946	0.000001116	0.000007448	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.033083866	0.000001101	0.000008177	
6	99	99	-	SCHED_RR	0	SPIN	0.032693346	0.000003204	0.000085729	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.033873447	0.000001135	0.000007396	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.026175396	0.000000888	0.000008437	
6	1	1	-	SCHED_FIFO	0	SPIN	0.022857592	0.000002044	0.000008125	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.023463111	0.000000780	0.000004896	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.024779411	0.000000772	0.000006771	
6	99	99	-	SCHED_FIFO	0	SPIN	0.022391604	0.000001995	0.000008385	
6	-	-	-20	SCHED_OTHER	0	MUTEX	0.027005550	0.000000840	0.000005000	
6	-	-	-20	SCHED_OTHER	0	SEMAPHORE	0.027179351	0.000000790	0.000006822	
6	-	-	-20	SCHED_OTHER	0	SPIN	0.026732634	0.000002208	0.000009011	
6	-	-	19	SCHED_OTHER	0	MUTEX	0.028498462	0.000000813	0.000006146	
6	-	-	19	SCHED_OTHER	0	SEMAPHORE	0.039399161	0.000001141	0.000008542	
6	-	-	19	SCHED_OTHER	0	SPIN	0.038296664	0.000003082	0.000009792	
